59, 218
62, 252
66, 284
75, 315
93, 342
119, 364
153, 378
186, 386
221, 387
253, 382
272, 367
285, 345
292, 320
296, 293
296, 267
296, 242
293, 217
107, 199
124, 181
150, 172
177, 173
203, 181
225, 185
243, 178
264, 178
282, 185
290, 202
216, 201
220, 218
223, 236
227, 254
193, 270
207, 274
222, 277
234, 274
243, 269
137, 206
150, 200
164, 200
177, 207
163, 209
150, 210
236, 209
249, 202
261, 203
272, 210
261, 212
249, 211
159, 314
186, 307
206, 303
219, 305
231, 302
244, 305
259, 310
247, 316
234, 317
222, 318
208, 318
186, 317
166, 312
206, 311
219, 311
231, 310
253, 310
233, 308
221, 309
208, 309
