36, 225
39, 258
43, 290
49, 323
59, 354
75, 381
99, 404
126, 422
158, 427
191, 422
221, 405
245, 382
262, 354
271, 322
275, 289
278, 256
280, 222
56, 207
67, 188
88, 180
111, 181
134, 190
178, 190
201, 178
226, 174
251, 181
264, 202
155, 218
155, 244
154, 270
154, 296
131, 306
143, 310
156, 313
169, 308
181, 304
81, 226
93, 217
108, 216
123, 225
108, 230
93, 231
190, 223
205, 213
221, 212
234, 220
222, 226
206, 226
114, 348
132, 344
147, 343
158, 346
170, 343
187, 344
207, 347
189, 360
172, 363
159, 364
147, 363
132, 358
121, 347
146, 349
158, 351
171, 349
200, 347
171, 350
159, 352
147, 350
