53, 232
55, 263
55, 294
59, 325
72, 353
96, 376
124, 393
157, 406
192, 409
225, 406
249, 389
268, 370
281, 345
287, 318
289, 290
291, 262
293, 233
86, 208
101, 190
125, 183
149, 185
173, 194
209, 193
231, 185
253, 181
273, 189
281, 210
191, 213
192, 235
193, 256
194, 278
167, 293
180, 295
192, 298
205, 295
216, 293
112, 223
125, 215
140, 214
153, 222
140, 225
126, 226
222, 222
235, 214
249, 215
258, 223
249, 226
235, 225
139, 337
159, 327
177, 322
192, 325
207, 322
222, 326
235, 335
223, 343
209, 348
193, 350
177, 349
158, 344
146, 336
177, 333
192, 334
208, 332
229, 334
208, 332
193, 334
177, 333
